n,x_4d,y_4d,z_4d,w_4d,x_mm,y_mm,z_mm
217,-0.2368033989,-0.7663118961,0.3831559480,-0.1463525492,-13.1432778030,-42.5325404176,4.6549524117
218,0.1463525492,-0.1463525492,0.6199593469,0.6199593469,8.1229924058,-8.1229924058,47.5461943869
219,0.6199593469,0.1463525492,0.6199593469,0.1463525492,34.4095480118,8.1229924058,25.4268205540
220,0.3831559480,0.4736067977,0.6199593469,0.2368033989,21.2662702088,26.2865556060,29.6512450511
221,-0.5295084972,-0.6199593469,0.0000000000,-0.3831559480,-29.3892626146,-34.4095480118,-17.8949493358
222,0.7663118961,0.1463525492,0.3831559480,-0.2368033989,42.5325404176,8.1229924058,0.4305279146
223,0.0000000000,0.0000000000,-0.4736067977,-0.7663118961,0.0000000000,0.0000000000,-49.9925852788
224,0.7663118961,-0.3831559480,0.2368033989,0.1463525492,42.5325404176,-21.2662702088,13.9366057229
225,0.6199593469,-0.1463525492,0.6199593469,0.1463525492,34.4095480118,-8.1229924058,25.4268205540
226,-0.3831559480,-0.1463525492,0.2368033989,0.7663118961,-21.2662702088,-8.1229924058,42.8912419752
227,0.3831559480,0.2368033989,-0.7663118961,0.1463525492,21.2662702088,13.1432778030,-16.1451672427
228,0.2368033989,0.1463525492,-0.7663118961,-0.3831559480,13.1432778030,8.1229924058,-40.8753789979
229,-0.4736067977,0.6199593469,-0.3831559480,-0.2368033989,-26.2865556060,34.4095480118,-22.5499017475
230,-0.6199593469,0.4736067977,-0.2368033989,-0.3831559480,-34.4095480118,26.2865556060,-24.9962926394
231,0.0000000000,-0.5295084972,-0.6199593469,-0.3831559480,0.0000000000,-29.3892626146,-36.4865074704
232,-0.1463525492,0.7663118961,-0.2368033989,0.3831559480,-8.1229924058,42.5325404176,10.7936060322
233,-0.3831559480,-0.2368033989,0.7663118961,0.1463525492,-21.2662702088,-13.1432778030,29.8156920814
234,-0.6199593469,0.1463525492,0.1463525492,0.6199593469,-34.4095480118,8.1229924058,33.3435077797
235,0.0000000000,0.7663118961,-0.4736067977,0.0000000000,0.0000000000,42.5325404176,-14.2026866072
236,0.2368033989,-0.7663118961,0.3831559480,0.1463525492,13.1432778030,-42.5325404176,18.3254772503
237,-0.6199593469,0.5295084972,-0.3831559480,0.0000000000,-34.4095480118,29.3892626146,-11.4902148310
238,0.0000000000,-0.6199593469,-0.3831559480,-0.5295084972,0.0000000000,-34.4095480118,-36.2204265861
239,-0.7663118961,0.3831559480,-0.2368033989,-0.1463525492,-42.5325404176,21.2662702088,-13.9366057229
240,0.6199593469,0.5295084972,-0.3831559480,0.0000000000,34.4095480118,29.3892626146,-11.4902148310
241,0.0000000000,-0.2368033989,0.1463525492,-0.8567627458,0.0000000000,-13.1432778030,-35.6254516413
242,-0.1463525492,0.2368033989,0.3831559480,0.7663118961,-8.1229924058,13.1432778030,47.2801135026
243,0.1463525492,0.2368033989,0.3831559480,-0.7663118961,8.1229924058,13.1432778030,-24.2996838406
244,0.8567627458,0.2368033989,0.0000000000,0.1463525492,47.5528258148,13.1432778030,6.8352624193
245,-0.4736067977,0.0000000000,0.0000000000,-0.7663118961,-26.2865556060,0.0000000000,-35.7898986716
246,-0.3831559480,-0.7663118961,-0.1463525492,0.2368033989,-21.2662702088,-42.5325404176,6.6708153891
247,0.0000000000,0.4736067977,0.7663118961,0.0000000000,0.0000000000,26.2865556060,22.9804296621
248,0.2368033989,-0.3831559480,-0.6199593469,-0.4736067977,13.1432778030,-21.2662702088,-40.7109319676
249,0.6199593469,0.0000000000,-0.5295084972,-0.3831559480,34.4095480118,0.0000000000,-33.7740356942
250,0.4736067977,-0.3831559480,0.2368033989,0.6199593469,26.2865556060,-21.2662702088,36.0559795559
251,0.2368033989,0.3831559480,0.6199593469,0.4736067977,13.1432778030,21.2662702088,40.7109319676
252,0.3831559480,-0.1463525492,-0.2368033989,-0.7663118961,21.2662702088,-8.1229924058,-42.8912419752
