n,x_4d,y_4d,z_4d,w_4d,x_mm,y_mm,z_mm
166,0.6199593469,0.6199593469,0.1463525492,0.1463525492,34.4095480118,34.4095480118,11.2241339467
167,-0.6199593469,-0.2368033989,0.3831559480,-0.4736067977,-34.4095480118,-13.1432778030,-10.6291590019
168,0.3831559480,0.7663118961,0.1463525492,-0.2368033989,21.2662702088,42.5325404176,-6.6708153891
169,0.6199593469,-0.6199593469,-0.1463525492,0.1463525492,34.4095480118,-34.4095480118,2.4463908919
170,-0.2368033989,-0.1463525492,0.7663118961,0.3831559480,-13.1432778030,-8.1229924058,40.8753789979
171,-0.1463525492,-0.3831559480,0.7663118961,0.2368033989,-8.1229924058,-21.2662702088,34.0401165785
172,0.1463525492,0.6199593469,-0.6199593469,-0.1463525492,8.1229924058,34.4095480118,-25.4268205540
173,0.5295084972,0.3831559480,-0.6199593469,0.0000000000,29.3892626146,21.2662702088,-18.5915581346
174,-0.6199593469,0.2368033989,-0.3831559480,-0.4736067977,-34.4095480118,13.1432778030,-33.6095886640
175,-0.1463525492,-0.1463525492,-0.6199593469,0.6199593469,-8.1229924058,-8.1229924058,10.3630781176
176,-0.8567627458,0.2368033989,0.0000000000,0.1463525492,-47.5528258148,13.1432778030,6.8352624193
177,-0.1463525492,-0.6199593469,-0.1463525492,0.6199593469,-8.1229924058,-34.4095480118,24.5657647249
178,-0.4736067977,0.2368033989,0.6199593469,-0.3831559480,-26.2865556060,13.1432778030,0.6966087989
179,-0.2368033989,0.7663118961,-0.3831559480,0.1463525492,-13.1432778030,42.5325404176,-4.6549524117
180,0.1463525492,0.7663118961,-0.2368033989,0.3831559480,8.1229924058,42.5325404176,10.7936060322
181,0.1463525492,0.0000000000,-0.2368033989,-0.8567627458,8.1229924058,0.0000000000,-47.1156664724
182,-0.7663118961,0.1463525492,-0.3831559480,-0.2368033989,-42.5325404176,8.1229924058,-22.5499017475
183,-0.1463525492,0.6199593469,0.1463525492,0.6199593469,-8.1229924058,34.4095480118,33.3435077797
184,0.6199593469,-0.1463525492,-0.6199593469,0.1463525492,34.4095480118,-8.1229924058,-11.7562957153
185,0.6199593469,-0.1463525492,-0.1463525492,-0.6199593469,34.4095480118,-8.1229924058,-33.3435077797
186,-0.2368033989,0.3831559480,0.1463525492,-0.7663118961,-13.1432778030,21.2662702088,-31.4010271442
187,-0.1463525492,0.0000000000,0.2368033989,-0.8567627458,-8.1229924058,0.0000000000,-32.9129798651
188,-0.3831559480,-0.2368033989,-0.7663118961,-0.1463525492,-21.2662702088,-13.1432778030,-29.8156920814
189,0.1463525492,0.2368033989,-0.3831559480,-0.7663118961,8.1229924058,13.1432778030,-47.2801135026
190,0.2368033989,0.3831559480,-0.6199593469,-0.4736067977,13.1432778030,21.2662702088,-40.7109319676
191,0.2368033989,0.6199593469,0.4736067977,0.3831559480,13.1432778030,34.4095480118,32.0976359430
192,-0.2368033989,-0.4736067977,0.3831559480,0.6199593469,-13.1432778030,-26.2865556060,40.4448510833
193,0.4736067977,0.3831559480,0.2368033989,0.6199593469,26.2865556060,21.2662702088,36.0559795559
194,0.6199593469,-0.1463525492,0.1463525492,0.6199593469,34.4095480118,-8.1229924058,33.3435077797
195,0.2368033989,0.7663118961,-0.3831559480,-0.1463525492,13.1432778030,42.5325404176,-18.3254772503
196,0.8567627458,0.0000000000,-0.1463525492,0.2368033989,47.5528258148,0.0000000000,6.6708153891
197,0.5295084972,-0.3831559480,0.6199593469,0.0000000000,29.3892626146,-21.2662702088,18.5915581346
198,-0.1463525492,0.3831559480,-0.7663118961,-0.2368033989,-8.1229924058,21.2662702088,-34.0401165785
199,0.1463525492,-0.6199593469,0.6199593469,-0.1463525492,8.1229924058,-34.4095480118,11.7562957153
200,0.0000000000,0.3831559480,0.5295084972,0.6199593469,0.0000000000,21.2662702088,44.8337226107
201,-0.1463525492,-0.1463525492,0.6199593469,0.6199593469,-8.1229924058,-8.1229924058,47.5461943869
202,-0.7663118961,0.3831559480,-0.2368033989,0.1463525492,-42.5325404176,21.2662702088,-0.2660808843
203,-0.6199593469,-0.3831559480,0.0000000000,-0.5295084972,-34.4095480118,-21.2662702088,-24.7302117551
204,-0.5295084972,0.6199593469,0.0000000000,0.3831559480,-29.3892626146,34.4095480118,17.8949493358
205,-0.3831559480,0.6199593469,0.2368033989,-0.4736067977,-21.2662702088,34.4095480118,-15.0180305293
206,-0.6199593469,-0.1463525492,0.6199593469,0.1463525492,-34.4095480118,-8.1229924058,25.4268205540
207,0.0000000000,-0.8567627458,0.2368033989,-0.1463525492,0.0000000000,-47.5528258148,0.2660808843
208,0.2368033989,0.1463525492,0.0000000000,-0.8567627458,13.1432778030,8.1229924058,-40.0143231687
209,-0.6199593469,0.3831559480,-0.4736067977,0.2368033989,-34.4095480118,21.2662702088,-3.1429996908
210,0.6199593469,0.4736067977,-0.2368033989,0.3831559480,34.4095480118,26.2865556060,10.7936060322
211,0.2368033989,-0.3831559480,0.1463525492,0.7663118961,13.1432778030,-21.2662702088,40.1787701990
212,0.6199593469,0.4736067977,0.2368033989,-0.3831559480,34.4095480118,26.2865556060,-10.7936060322
213,-0.6199593469,0.1463525492,-0.1463525492,-0.6199593469,-34.4095480118,8.1229924058,-33.3435077797
214,-0.3831559480,0.6199593469,-0.2368033989,0.4736067977,-21.2662702088,34.4095480118,15.0180305293
215,0.7663118961,-0.3831559480,0.2368033989,-0.1463525492,42.5325404176,-21.2662702088,0.2660808843
216,0.7663118961,-0.2368033989,-0.1463525492,-0.3831559480,42.5325404176,-13.1432778030,-22.2838208632
