x_mm,y_mm,z_mm
-17.6776695297,0.0000000000,42.5921660547
-17.6776695297,0.0000000000,35.2956331217
-28.6030701409,0.0000000000,27.3590420689
-35.3553390593,0.0000000000,29.7504919765
-10.9254006112,10.9254006112,44.8469187310
-28.6030701409,10.9254006112,20.1992063672
-46.2807396705,0.0000000000,-15.2331239857
-35.3553390593,0.0000000000,-19.1025712185
-39.5284707521,0.0000000000,-24.6477123638
-39.5284707521,0.0000000000,-6.2608971403
-46.2807396705,0.0000000000,-3.8694472328
-35.3553390593,10.9254006112,-30.3295507403
-35.3553390593,10.9254006112,-0.5790587638
35.3553390593,0.0000000000,19.1025712185
46.2807396705,0.0000000000,15.2331239857
39.5284707521,0.0000000000,24.6477123638
39.5284707521,0.0000000000,6.2608971403
46.2807396705,0.0000000000,3.8694472328
35.3553390593,10.9254006112,0.5790587638
17.6776695297,0.0000000000,42.5921660547
28.6030701409,0.0000000000,39.1650803545
35.3553390593,0.0000000000,29.7504919765
28.6030701409,0.0000000000,27.3590420689
17.6776695297,0.0000000000,35.2956331217
10.9254006112,10.9254006112,44.8469187310
28.6030701409,10.9254006112,20.1992063672
-10.9254006112,35.3553390593,-33.6199392092
17.6776695297,0.0000000000,-35.2956331217
28.6030701409,0.0000000000,-27.3590420689
17.6776695297,0.0000000000,-42.5921660547
28.6030701409,0.0000000000,-39.1650803545
35.3553390593,0.0000000000,-29.7504919765
28.6030701409,10.9254006112,-20.1992063672
10.9254006112,10.9254006112,-44.8469187310
-6.7522689184,0.0000000000,-39.8808363495
-10.9254006112,0.0000000000,-45.4259774948
0.0000000000,0.0000000000,-48.8530631950
10.9254006112,0.0000000000,-45.4259774948
6.7522689184,0.0000000000,-39.8808363495
-17.6776695297,10.9254006112,-43.1712248185
-10.9254006112,17.6776695297,-45.2047967285
-6.7522689184,28.6030701409,-39.5229583520
0.0000000000,10.9254006112,-48.7163659638
10.9254006112,10.9254006112,-34.1989979730
6.7522689184,0.0000000000,-10.1303443730
-6.7522689184,0.0000000000,-10.1303443730
-10.9254006112,0.0000000000,2.7113297052
0.0000000000,0.0000000000,10.6479207580
10.9254006112,0.0000000000,2.7113297052
17.6776695297,10.9254006112,4.9660823815
-17.6776695297,10.9254006112,4.9660823815
10.9254006112,10.9254006112,-15.8121827495
17.6776695297,17.6776695297,-6.4820779066
17.6776695297,6.7522689184,25.0055903613
17.6776695297,17.6776695297,6.4820779066
10.9254006112,10.9254006112,15.8121827495
28.6030701409,10.9254006112,21.3573238948
28.6030701409,17.6776695297,9.9091636068
46.2807396705,6.7522689184,14.8752459882
46.2807396705,10.9254006112,15.0964267545
28.6030701409,28.6030701409,20.4203871335
39.5284707521,10.9254006112,24.0686536000
35.3553390593,17.6776695297,18.1656344572
-35.3553390593,0.0000000000,-29.7504919765
-17.6776695297,0.0000000000,-42.5921660547
-28.6030701409,0.0000000000,-39.1650803545
-28.6030701409,0.0000000000,-27.3590420689
-17.6776695297,0.0000000000,-35.2956331217
-28.6030701409,10.9254006112,-39.3017775857
-10.9254006112,10.9254006112,-44.8469187310
-17.6776695297,17.6776695297,-42.8133468210
-17.6776695297,28.6030701409,-35.6535111192
-17.6776695297,6.7522689184,-25.0055903613
-28.6030701409,10.9254006112,-21.3573238948
-28.6030701409,17.6776695297,-28.2959788302
-28.6030701409,17.6776695297,-9.9091636068
0.0000000000,17.6776695297,-30.6874287378
0.0000000000,28.6030701409,-30.5507315065
-10.9254006112,28.6030701409,-33.9778172067
-10.9254006112,10.9254006112,-34.1989979730
-17.6776695297,17.6776695297,-36.2325698830
0.0000000000,17.6776695297,-19.3237519848
-10.9254006112,10.9254006112,-15.8121827495
-17.6776695297,17.6776695297,-6.4820779066
0.0000000000,6.7522689184,29.3926139790
-17.6776695297,17.6776695297,23.7107756025
-10.9254006112,10.9254006112,33.0408804454
