# 720 via positions -- Opera Numerorum -- Battle Plan v1.6
# David Fox -- June 2026
# M8E: 24 layers x 30 icosahedral edge midpoints, rotated 15 deg/layer
# H3 icosahedral symmetry. Substrate: Rogers 4350B, 0.1mm pitch.
# Total vias: 720 (same as M8G 120-cell). k_c(H3) ~ 2.13.
via_id,layer,angle_deg,x_mm,y_mm,z_mm,r_mm,theta_deg
226,8,105.0,0.719132,2.394337,0.7,2.5,73.2825
227,8,105.0,-2.983534,-2.160128,0.7,3.683426,-144.0948
228,8,105.0,-1.163579,-3.874119,0.7,4.045085,-106.7175
229,8,105.0,-2.983534,-2.160128,0.7,3.683426,-144.0948
230,8,105.0,-4.108328,-1.100823,0.7,4.253254,-165.0
231,8,105.0,-1.819955,1.713991,0.7,2.5,136.7175
232,8,105.0,1.163579,3.874119,0.7,4.045085,73.2825
233,8,105.0,-2.944749,2.773296,0.7,4.045085,136.7175
234,8,105.0,-1.100823,4.108328,0.7,4.253254,105.0
235,8,105.0,-3.66388,0.378959,0.7,3.683426,174.0948
236,8,105.0,1.163579,3.874119,0.7,4.045085,73.2825
237,8,105.0,-0.719132,-2.394337,0.7,2.5,-106.7175
238,8,105.0,-3.66388,0.378959,0.7,3.683426,174.0948
239,8,105.0,-1.819955,1.713991,0.7,2.5,136.7175
240,8,105.0,-2.944749,2.773296,0.7,4.045085,136.7175
241,9,120.0,3.637118,0.582236,0.8,3.683426,9.0948
242,9,120.0,2.201555,-1.184549,0.8,2.5,-28.2825
243,9,120.0,0.074928,2.498877,0.8,2.5,88.2825
244,9,120.0,0.0,0.0,0.8,0.0,0.0
245,9,120.0,2.32279,2.858719,0.8,3.683426,50.9052
246,9,120.0,3.56219,-1.916641,0.8,4.045085,-28.2825
247,9,120.0,3.637118,0.582236,0.8,3.683426,9.0948
248,9,120.0,3.683426,2.126627,0.8,4.253254,30.0
249,9,120.0,3.56219,-1.916641,0.8,4.045085,-28.2825
250,9,120.0,-0.121236,-4.043268,0.8,4.045085,-91.7175
251,9,120.0,-0.074928,-2.498877,0.8,2.5,-91.7175
252,9,120.0,2.126627,-3.683426,0.8,4.253254,-60.0
253,9,120.0,2.32279,2.858719,0.8,3.683426,50.9052
254,9,120.0,2.201555,-1.184549,0.8,2.5,-28.2825
255,9,120.0,0.0,0.0,0.8,0.0,0.0
256,9,120.0,0.074928,2.498877,0.8,2.5,88.2825
257,9,120.0,-2.32279,-2.858719,0.8,3.683426,-129.0948
258,9,120.0,-0.121236,-4.043268,0.8,4.045085,-91.7175
259,9,120.0,-2.32279,-2.858719,0.8,3.683426,-129.0948
260,9,120.0,-3.683426,-2.126627,0.8,4.253254,-150.0
261,9,120.0,-2.201555,1.184549,0.8,2.5,151.7175
262,9,120.0,0.121236,4.043268,0.8,4.045085,88.2825
263,9,120.0,-3.56219,1.916641,0.8,4.045085,151.7175
264,9,120.0,-2.126627,3.683426,0.8,4.253254,120.0
265,9,120.0,-3.637118,-0.582236,0.8,3.683426,-170.9052
266,9,120.0,0.121236,4.043268,0.8,4.045085,88.2825
267,9,120.0,-0.074928,-2.498877,0.8,2.5,-91.7175
268,9,120.0,-3.637118,-0.582236,0.8,3.683426,-170.9052
269,9,120.0,-2.201555,1.184549,0.8,2.5,151.7175
270,9,120.0,-3.56219,1.916641,0.8,4.045085,151.7175
271,10,135.0,3.362493,1.503752,0.9,3.683426,24.0948
272,10,135.0,2.433122,-0.574382,0.9,2.5,-13.2825
273,10,135.0,-0.574382,2.433122,0.9,2.5,103.2825
274,10,135.0,0.0,0.0,0.9,0.0,0.0
275,10,135.0,1.503752,3.362493,0.9,3.683426,65.9052
276,10,135.0,3.936875,-0.92937,0.9,4.045085,-13.2825
277,10,135.0,3.362493,1.503752,0.9,3.683426,24.0948
278,10,135.0,3.007505,3.007505,0.9,4.253254,45.0
279,10,135.0,3.936875,-0.92937,0.9,4.045085,-13.2825
280,10,135.0,0.92937,-3.936875,0.9,4.045085,-76.7175
281,10,135.0,0.574382,-2.433122,0.9,2.5,-76.7175
282,10,135.0,3.007505,-3.007505,0.9,4.253254,-45.0
283,10,135.0,1.503752,3.362493,0.9,3.683426,65.9052
284,10,135.0,2.433122,-0.574382,0.9,2.5,-13.2825
285,10,135.0,0.0,0.0,0.9,0.0,0.0
286,10,135.0,-0.574382,2.433122,0.9,2.5,103.2825
287,10,135.0,-1.503752,-3.362493,0.9,3.683426,-114.0948
288,10,135.0,0.92937,-3.936875,0.9,4.045085,-76.7175
289,10,135.0,-1.503752,-3.362493,0.9,3.683426,-114.0948
290,10,135.0,-3.007505,-3.007505,0.9,4.253254,-135.0
291,10,135.0,-2.433122,0.574382,0.9,2.5,166.7175
292,10,135.0,-0.92937,3.936875,0.9,4.045085,103.2825
293,10,135.0,-3.936875,0.92937,0.9,4.045085,166.7175
294,10,135.0,-3.007505,3.007505,0.9,4.253254,135.0
295,10,135.0,-3.362493,-1.503752,0.9,3.683426,-155.9052
296,10,135.0,-0.92937,3.936875,0.9,4.045085,103.2825
297,10,135.0,0.574382,-2.433122,0.9,2.5,-76.7175
298,10,135.0,-3.362493,-1.503752,0.9,3.683426,-155.9052
299,10,135.0,-2.433122,0.574382,0.9,2.5,166.7175
300,10,135.0,-3.936875,0.92937,0.9,4.045085,166.7175
301,11,150.0,2.858719,2.32279,1.0,3.683426,39.0948
302,11,150.0,2.498877,0.074928,1.0,2.5,1.7175
303,11,150.0,-1.184549,2.201555,1.0,2.5,118.2825
304,11,150.0,0.0,0.0,1.0,0.0,0.0
305,11,150.0,0.582236,3.637118,1.0,3.683426,80.9052
306,11,150.0,4.043268,0.121236,1.0,4.045085,1.7175
307,11,150.0,2.858719,2.32279,1.0,3.683426,39.0948
308,11,150.0,2.126627,3.683426,1.0,4.253254,60.0
309,11,150.0,4.043268,0.121236,1.0,4.045085,1.7175
310,11,150.0,1.916641,-3.56219,1.0,4.045085,-61.7175
311,11,150.0,1.184549,-2.201555,1.0,2.5,-61.7175
312,11,150.0,3.683426,-2.126627,1.0,4.253254,-30.0
313,11,150.0,0.582236,3.637118,1.0,3.683426,80.9052
314,11,150.0,2.498877,0.074928,1.0,2.5,1.7175
315,11,150.0,0.0,0.0,1.0,0.0,0.0
316,11,150.0,-1.184549,2.201555,1.0,2.5,118.2825
317,11,150.0,-0.582236,-3.637118,1.0,3.683426,-99.0948
318,11,150.0,1.916641,-3.56219,1.0,4.045085,-61.7175
319,11,150.0,-0.582236,-3.637118,1.0,3.683426,-99.0948
320,11,150.0,-2.126627,-3.683426,1.0,4.253254,-120.0
